YearsExperience,Salary
0.0,20000
0.1,20200
0.2,20400
0.3,20600
0.4,20800
0.5,21000
0.6,21200
0.7,21400
0.8,21600
0.9,21800
1.0,22000
1.1,22300
1.2,22600
1.3,22900
1.4,23200
1.5,23500
1.6,23800
1.7,24100
1.8,24400
1.9,24700
2.0,25000
2.1,25400
2.2,25800
2.3,26200
2.4,26600
2.5,27000
2.6,27400
2.7,27800
2.8,28200
2.9,28600
3.0,29000
3.1,29400
3.2,29800
3.3,30200
3.4,30600
3.5,31000
3.6,31400
3.7,31800
3.8,32200
3.9,32600
4.0,33000
4.1,33400
4.2,33800
4.3,34200
4.4,34600
4.5,35000
4.6,35400
4.7,35800
4.8,36200
4.9,36600
5.0,37000
5.1,37400
5.2,37800
5.3,38200
5.4,38600
5.5,39000
5.6,39400
5.7,39800
5.8,40200
5.9,40600
6.0,41000
6.1,41400
6.2,41800
6.3,42200
6.4,42600
6.5,43000
6.6,43400
6.7,43800
6.8,44200
6.9,44600
7.0,45000
7.1,45400
7.2,45800
7.3,46200
7.4,46600
7.5,47000
7.6,47400
7.7,47800
7.8,48200
7.9,48600
8.0,49000
8.1,49400
8.2,49800
8.3,50200
8.4,50600
8.5,51000
8.6,51400
8.7,51800
8.8,52200
8.9,52600
9.0,53000
9.1,53400
9.2,53800
9.3,54200
9.4,54600
9.5,55000
9.6,55400
9.7,55800
9.8,56200
9.9,56600
10.0,57000
10.1,57400
10.2,57800
10.3,58200
10.4,58600
10.5,59000
10.6,59400
10.7,59800
10.8,60200
10.9,60600
11.0,61000
11.1,61400
11.2,61800
11.3,62200
11.4,62600
11.5,63000
11.6,63400
11.7,63800
11.8,64200
11.9,64600
12.0,65000
12.1,65400
12.2,65800
12.3,66200
12.4,66600
12.5,67000
12.6,67400
12.7,67800
12.8,68200
12.9,68600
13.0,69000
13.1,69400
13.2,69800
13.3,70200
13.4,70600
13.5,71000
13.6,71400
13.7,71800
13.8,72200
13.9,72600
14.0,73000
14.1,73400
14.2,73800
14.3,74200
14.4,74600
14.5,75000
14.6,75400
14.7,75800
14.8,76200
14.9,76600
15.0,77000
15.1,77400
15.2,77800
15.3,78200
15.4,78600
15.5,79000
15.6,79400
15.7,79800
15.8,80200
15.9,80600
16.0,81000
16.1,81400
16.2,81800
16.3,82200
16.4,82600
16.5,83000
16.6,83400
16.7,83800
16.8,84200
16.9,84600
17.0,85000
17.1,85400
17.2,85800
17.3,86200
17.4,86600
17.5,87000
17.6,87400
17.7,87800
17.8,88200
17.9,88600
18.0,89000
18.1,89400
18.2,89800
18.3,90200
18.4,90600
18.5,91000
18.6,91400
18.7,91800
18.8,92200
18.9,92600
19.0,93000
19.1,93400
19.2,93800
19.3,94200
19.4,94600
19.5,95000
19.6,95400
19.7,95800
19.8,96200
19.9,96600
20.0,97000
20.1,97400
20.2,97800
20.3,98200
20.4,98600
20.5,99000
20.6,99400
20.7,99800
20.8,100200
20.9,100600
21.0,101000
21.1,101400
21.2,101800
21.3,102200
21.4,102600
21.5,103000
21.6,103400
21.7,103800
21.8,104200
21.9,104600
22.0,105000
22.1,105400
22.2,105800
22.3,106200
22.4,106600
22.5,107000
22.6,107400
22.7,107800
22.8,108200
22.9,108600
23.0,109000
23.1,109400
23.2,109800
23.3,110200
23.4,110600
23.5,111000
23.6,111400
23.7,111800
23.8,112200
23.9,112600
24.0,113000
24.1,113400
24.2,113800
24.3,114200
24.4,114600
24.5,115000
24.6,115400
24.7,115800
24.8,116200
24.9,116600
25.0,117000
25.1,117400
25.2,117800
25.3,118200
25.4,118600
25.5,119000
25.6,119400
25.7,119800
25.8,120200
25.9,120600
26.0,121000
26.1,121400
26.2,121800
26.3,122200
26.4,122600
26.5,123000
26.6,123400
26.7,123800
26.8,124200
26.9,124600
27.0,125000
27.1,125400
27.2,125800
27.3,126200
27.4,126600
27.5,127000
27.6,127400
27.7,127800
27.8,128200
27.9,128600
28.0,129000
28.1,129400
28.2,129800
28.3,130200
28.4,130600
28.5,131000
28.6,131400
28.7,131800
28.8,132200
28.9,132600
29.0,133000
29.1,133400
29.2,133800
29.3,134200
29.4,134600
29.5,135000
29.6,135400
29.7,135800
29.8,136200
29.9,136600
30.0,137000
